ID,Type,Name,Artefact,Class,Length_mm,Width_mm
109,Handaxe,A_2,2,Novice,103.01,63.85
110,Handaxe,B_2,2,Novice,102.26,64.52
111,Handaxe,C_2,2,Intermediate,102.17,62.93
112,Handaxe,D_2,2,Novice,100.08,63.26
113,Handaxe,E_2,2,Novice,99.79,62.93
114,Handaxe,F_2,2,Novice,100.24,61.39
115,Handaxe,G_2,2,Novice,102.09,63.43
116,Handaxe,H_2,2,Professional,105.56,68.02
117,Handaxe,I_2,2,Novice,99.08,62.51
118,Handaxe,J_2,2,Novice,99.12,62.41
119,Handaxe,K_2,2,Novice,104.27,59.33
120,Handaxe,L_2,2,Novice,102.86,64.12
121,Handaxe,M_2,2,Novice,98.74,57.49
122,Handaxe,N_2,2,Novice,102.36,65.06
123,Handaxe,O_2,2,Novice,100.58,62.26
124,Handaxe,P_2,2,Intermediate,102.01,61.09
125,Handaxe,Q_2,2,Intermediate,102.09,63.85
126,Handaxe,R_2,2,Photograph,105.35,67.05
127,Handaxe,A_3,3,Novice,106.02,76.99
128,Handaxe,B_3,3,Novice,103.76,74.06
129,Handaxe,C_3,3,Intermediate,103.01,73.72
130,Handaxe,D_3,3,Novice,101.75,74.1
131,Handaxe,E_3,3,Novice,97.45,75.88
132,Handaxe,F_3,3,Novice,104.7,77.14
133,Handaxe,G_3,3,Novice,104.98,74.94
134,Handaxe,H_3,3,Professional,102.44,80
135,Handaxe,I_3,3,Novice,103.11,75.13
136,Handaxe,J_3,3,Novice,102.93,73.72
137,Handaxe,K_3,3,Novice,99.83,62.93
138,Handaxe,L_3,3,Novice,103.6,74.48
139,Handaxe,M_3,3,Novice,104.45,77.56
140,Handaxe,N_3,3,Novice,108.02,73.76
141,Handaxe,O_3,3,Novice,102.84,75.4
142,Handaxe,P_3,3,Intermediate,101.92,75.23
143,Handaxe,Q_3,3,Intermediate,103.95,74.03
144,Handaxe,R_3,3,Photograph,102.43,76.33
145,Handaxe,A_4,4,Novice,189.37,86.95
146,Handaxe,B_4,4,Novice,190.29,84.52
147,Handaxe,C_4,4,Intermediate,188.95,86.27
